"","X","Experiment","Treatment","Replicate","DPI","Population","subject"
"125",125,"3","Xp alone",2,3,4.494850022,"Xp alone.2.3"
"126",126,"3","Xp alone",3,3,5.884016106,"Xp alone.3.3"
"127",127,"3","Xp alone",1,6,7.638092369,"Xp alone.1.3"
"128",128,"3","Xp alone",2,6,7.668055592,"Xp alone.2.3"
"129",129,"3","Xp alone",3,6,5.901390202,"Xp alone.3.3"
"130",130,"3","Xp alone",1,9,7.658295755,"Xp alone.1.3"
"131",131,"3","Xp alone",2,9,8.207183988,"Xp alone.2.3"
"132",132,"3","Xp alone",3,9,7.921492601,"Xp alone.3.3"
"133",133,"3","Xp alone",1,14,6.84703254,"Xp alone.1.3"
"134",134,"3","Xp alone",2,14,7.542124889,"Xp alone.2.3"
"135",135,"3","Xp alone",3,14,7.392477113,"Xp alone.3.3"
"136",136,"3","Xp of XpPc",1,0,3.44618754,"Xp of XpPc.1.3"
"137",137,"3","Xp of XpPc",2,0,2.889301703,"Xp of XpPc.2.3"
"138",138,"3","Xp of XpPc",3,0,3.349763044,"Xp of XpPc.3.3"
"139",139,"3","Xp of XpPc",1,3,3.193820026,"Xp of XpPc.1.3"
"140",140,"3","Xp of XpPc",2,3,3.670941281,"Xp of XpPc.2.3"
"141",141,"3","Xp of XpPc",3,3,3.670941281,"Xp of XpPc.3.3"
"142",142,"3","Xp of XpPc",1,6,4.038918066,"Xp of XpPc.1.3"
"143",143,"3","Xp of XpPc",2,6,4.712333966,"Xp of XpPc.2.3"
"144",144,"3","Xp of XpPc",3,6,6.558911123,"Xp of XpPc.3.3"
"145",145,"3","Xp of XpPc",1,9,5.598653743,"Xp of XpPc.1.3"
"146",146,"3","Xp of XpPc",2,9,5.349156063,"Xp of XpPc.2.3"
"147",147,"3","Xp of XpPc",3,9,7.020417905,"Xp of XpPc.3.3"
"148",148,"3","Xp of XpPc",1,14,6.852784869,"Xp of XpPc.1.3"
"149",149,"3","Xp of XpPc",2,14,6.727846132,"Xp of XpPc.2.3"
"150",150,"3","Xp of XpPc",3,14,6.441793292,"Xp of XpPc.3.3"
"151",151,"3","Xp of XpXa",1,0,3.255272505,"Xp of XpXa.1.3"
"152",152,"3","Xp of XpXa",2,0,2.730378469,"Xp of XpXa.2.3"
"153",153,"3","Xp of XpXa",3,0,3.329906123,"Xp of XpXa.3.3"
"154",154,"3","Xp of XpXa",1,3,4.235212711,"Xp of XpXa.1.3"
"155",155,"3","Xp of XpXa",2,3,3.193820026,"Xp of XpXa.2.3"
"156",156,"3","Xp of XpXa",3,3,3.795880017,"Xp of XpXa.3.3"
"157",157,"3","Xp of XpXa",1,6,4.640978057,"Xp of XpXa.1.3"
"158",158,"3","Xp of XpXa",2,6,5.102305045,"Xp of XpXa.2.3"
"159",159,"3","Xp of XpXa",3,6,5.133339279,"Xp of XpXa.3.3"
"160",160,"3","Xp of XpXa",1,9,5.784884633,"Xp of XpXa.1.3"
"161",161,"3","Xp of XpXa",2,9,4.62518379,"Xp of XpXa.2.3"
"162",162,"3","Xp of XpXa",3,9,6.018596488,"Xp of XpXa.3.3"
"163",163,"3","Xp of XpXa",1,14,4.89279003,"Xp of XpXa.1.3"
"164",164,"3","Xp of XpXa",2,14,4.670941281,"Xp of XpXa.2.3"
"165",165,"3","Xp of XpXa",3,14,5.725298943,"Xp of XpXa.3.3"
"166",166,"3","Xp of XpPcXa",1,0,3.124259621,"Xp of XpPcXa.1.3"
"167",167,"3","Xp of XpPcXa",2,0,3.358172882,"Xp of XpPcXa.2.3"
"168",168,"3","Xp of XpPcXa",3,0,2.84509804,"Xp of XpPcXa.3.3"
"169",169,"3","Xp of XpPcXa",1,3,3.670941281,"Xp of XpPcXa.1.3"
"170",170,"3","Xp of XpPcXa",2,3,5.403335041,"Xp of XpPcXa.2.3"
"171",171,"3","Xp of XpPcXa",3,3,4.148062535,"Xp of XpPcXa.3.3"
"172",172,"3","Xp of XpPcXa",1,6,4.90982337,"Xp of XpPcXa.1.3"
"173",173,"3","Xp of XpPcXa",2,6,5.235212711,"Xp of XpPcXa.2.3"
"174",174,"3","Xp of XpPcXa",3,6,6.770717934,"Xp of XpPcXa.3.3"
"175",175,"3","Xp of XpPcXa",1,9,5.369911285,"Xp of XpPcXa.1.3"
"176",176,"3","Xp of XpPcXa",2,9,6.779385839,"Xp of XpPcXa.2.3"
"177",177,"3","Xp of XpPcXa",3,9,7.180118748,"Xp of XpPcXa.3.3"
"178",178,"3","Xp of XpPcXa",1,14,5.16694788,"Xp of XpPcXa.1.3"
"179",179,"3","Xp of XpPcXa",2,14,5.102305045,"Xp of XpPcXa.2.3"
"180",180,"3","Xp of XpPcXa",3,14,5.112898118,"Xp of XpPcXa.3.3"
